"lokalisationnummer","lokalisationsname","status","status_txt","lokalisation_art","lokalisation_art_txt","lokalisation_koord_ost","lokalisation_koord_nord","objid","lokalisation_ori","geometry"
"2021","Titlisstrasse","1","real","1","Strasse","2684924.542","1247318.278","512","312.1","POINT (2684924.5 1247318.2)"
"1400","Moussonstrasse","1","real","1","Strasse","2684265.433","1247799.28","517","327.3","POINT (2684265.5 1247799.2)"
"797","Haselweg","1","real","1","Strasse","2684428.306","1247555.12","540","309.0","POINT (2684428.2 1247555.1)"
"136","Bächtoldstrasse","1","real","1","Strasse","2684441.925","1247758.049","541","305.0","POINT (2684442 1247758)"
"641","Gellertstrasse","1","real","1","Strasse","2684433.009","1247967.057","542","51.0","POINT (2684433 1247967)"
"1057","Kantstrasse","1","real","1","Strasse","2684488.627","1247869.812","543","305.4","POINT (2684488.8 1247869.8)"
"1046","Jupiterstrasse","1","real","1","Strasse","2684973.853","1246616.081","546","30.0","POINT (2684973.8 1246616.1)"
"1045","Jupitersteig","1","real","1","Strasse","2685177.456","1246746.385","573","34.0","POINT (2685177.5 1246746.4)"
"2287","Otto-C.-Bänninger-Weg","1","real","1","Strasse","2685195.861","1246671.349","617","294.2","POINT (2685195.8 1246671.4)"
"1128","Klusplatz","1","real","2","Platz","2685190.072","1246587.236","730","0.0","POINT (2685190 1246587.2)"
"458","Eleonorenstrasse","1","real","1","Strasse","2684443.162","1247504.057","788","38.1","POINT (2684443.2 1247504)"
"877","Hochstrasse","1","real","1","Strasse","2684490.93","1247958.613","790","311.0","POINT (2684491 1247958.6)"
"2029","Toblerstrasse","1","real","1","Strasse","2684922.82","1247901.272","791","311.0","POINT (2684922.8 1247901.2)"
"2097","Vorderberg","1","real","1","Strasse","2684632.584","1247885.589","901","58.5","POINT (2684632.5 1247885.6)"
"100","Arterstrasse","1","real","1","Strasse","2684362.639","1246834.1","982","36.0","POINT (2684362.8 1246834.1)"
"1302","Lunastrasse","1","real","1","Strasse","2684672.193","1246555.54","1021","55.4","POINT (2684672.2 1246555.5)"
"1162","Kreuzplatz","1","real","2","Platz","2684255.97","1246627.335","1047","0.0","POINT (2684256 1246627.4)"
"952","Ilgenstrasse","1","real","1","Strasse","2684608.701","1247146.511","1131","303.3","POINT (2684608.8 1247146.5)"
"422","Ebelstrasse","1","real","1","Strasse","2685161.273","1247494.165","1250","72.9","POINT (2685161.2 1247494.1)"
"1089","Keltenstrasse","1","real","1","Strasse","2685077.239","1247778.6","1258","352.1","POINT (2685077.2 1247778.6)"
"191","Belsitostrasse","1","real","1","Strasse","2684897.939","1247660.53","1259","310.1","POINT (2684898 1247660.5)"
"925","Hottingerplatz","1","real","2","Platz","2684311.055","1247100.87","1399","0.0","POINT (2684311 1247100.9)"
"1636","Ritterstrasse","1","real","1","Strasse","2684432.253","1247268.58","1401","308.7","POINT (2684432.2 1247268.6)"
"1951","Steinwiesplatz","1","real","2","Platz","2684110.348","1247187.932","1402","0.0","POINT (2684110.2 1247187.9)"
"1365","Merkurplatz","1","real","2","Platz","2684349.46","1246862.17","1406","0.0","POINT (2684349.5 1246862.1)"
"1546","Plattenstrasse","1","real","1","Strasse","2684370.793","1247275.967","1439","299.4","POINT (2684370.8 1247276)"
"1366","Merkurstrasse","1","real","1","Strasse","2684390.829","1246941.971","1549","36.0","POINT (2684390.8 1246942)"
"1713","Samariterstrasse","1","real","1","Strasse","2684848.966","1246924.895","1552","301.5","POINT (2684849 1246924.9)"
"394","Dolderstrasse","1","real","1","Strasse","2684834.583","1247300.787","1590","35.0","POINT (2684834.5 1247300.8)"
"1694","Rütistrasse","1","real","1","Strasse","2684941.91","1247253.29","1618","45.5","POINT (2684942 1247253.2)"
