"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","metall","glas","oel","textilien","standort_id","behindertengerecht","geometry"
"","Riedhofstrasse 378","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Riedhofstrasse vis-à-vis 378","","4723","","","","","","","","","","","","","","","Zürich","8049","sa42987","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","","42987","X","POINT Z (2678665 1251470.9 0)"
"","Gutstrasse 149","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Gutstrasse 149","","4724","","","","","","","","","","","","","","","Zürich","8055","sa42900","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42900","","POINT Z (2680411 1247497.9 0)"
"","Birmensdorferstrasse 432","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Birmensdorferstrasse 432","","4725","","","","","","","","","","","","","","","Zürich","8055","sa42833","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42833","X","POINT Z (2680248.8 1247007.2 0)"
"","Friesenbergstrasse 193","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Friesenbergstrasse 193","","4819","","","","","","","","","","","","","","","Zürich","8055","sa42827","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42827","X","POINT Z (2680638.8 1246341 0)"
"","Talwiesenstrasse 118","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Talwiesenstrasse vis-à-vis 118","","4820","","","","","","","","","","","","","","","Zürich","8055","sa42819","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42819","","POINT Z (2681143 1246820.9 0)"
"","Berneggweg 8","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Berneggweg vis-à-vis 8","","4821","","","","","","","","","","","","","","","Zürich","8055","sa42821","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42821","X","POINT Z (2681517 1246761.9 0)"
"","Talwiesenstrasse 169","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Talwiesenstrasse 169","","4822","","","","","","","","","","","","","","","Zürich","8055","sa42818","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42818","X","POINT Z (2680942.2 1247087.9 0)"
"","Dolderstrasse 39","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Dolderstrasse vis à vis 39","","4823","","","","","","","","","","","","","","","Zürich","8032","sa42964","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42964","X","POINT Z (2684736 1247316.9 0)"
"","Molkenstrasse 5","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Molkenstrasse vis à vis 5","","4824","","","","","","","","","","","","","","","Zürich","8004","sa66265","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","66265","X","POINT Z (2682250.5 1247847 0)"
"","Waserstrasse 36","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Waserstrasse vis-à-vis 36","","4825","","","","","","","","","","","","","","","Zürich","8053","sa42969","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42969","","POINT Z (2686039 1245886.8 0)"
"","Trichtenhausenstrasse 93","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Trichtenhausenstasse 93","","4826","","","","","","","","","","","","","","","Zürich","8053","sa42967","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42967","","POINT Z (2687800 1245603.8 0)"
"","St. Jakobstrasse 29","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","St. Jakobstr. vis-à-vis 29","","4827","","","","","","","","","","","","","","","Zürich","8004","sa45704","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","45704","X","POINT Z (2682326.5 1247626.6 0)"
"","Kochstrasse 21","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Kochstrasse 21","","4828","","","","","","","","","","","","","","","Zürich","8004","sa42885","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42885","","POINT Z (2681263 1248051.9 0)"
"","Maneggpromenade 88","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Maneggpromenade vis-à-vis 88","","4829","","","","","","","","","","","","","","","Zürich","8041","sa42811","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42811","","POINT Z (2681311 1243004.9 0)"
"","Leimbachstrasse 160","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Leimbachstrasse 160","","4830","","","","","","","","","","","","","","","Zürich","8041","sa42810","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42810","","POINT Z (2681223.8 1242330.9 0)"
"","Katzenschwanzstrasse 28","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Katzenschwanzstr. vis-à-vis 28","","4831","","","","","","","","","","","","","","","Zürich","8053","sa42966","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42966","","POINT Z (2687539 1246345.8 0)"
"","Hohlstrasse 90","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Hohlstrasse vis-à-vis 90","","4832","","","","","","","","","","","","","","","Zürich","8004","sa42858","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42858","","POINT Z (2681921 1248085.9 0)"
"","Witikonerstrasse 390","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Witikonerstrasse 390","","4912","","","","","","","","","","","","","","","Zürich","8053","sa42965","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42965","X","POINT Z (2687232 1246036.8 0)"
"","Seebahnstrasse 171","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Seebahnstrasse 171","","4913","","","","","","","","","","","","","","","Zürich","8004","sa45705","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","45705","X","POINT Z (2681543.5 1247751.6 0)"
"","Tuchmacherstrasse 18","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Tuchmacherstrasse 18","","4914","","","","","","","","","","","","","","","Zürich","8041","sa65124","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","65124","X","POINT Z (2681786 1243931 0)"
"","Kanzleistrasse 137","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Kanzleistrasse 137","","4915","","","","","","","","","","","","","","","Zürich","8004","sa42836","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42836","","POINT Z (2681594 1247964.9 0)"
"","Drusbergstrasse 135","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Drusbergstrasse 135","","4916","","","","","","","","","","","","","","","Zürich","8053","sa42968","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42968","X","POINT Z (2686513 1245888.8 0)"
"","Weberstrasse 3","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Weberstrasse 3","","4917","","","","","","","","","","","","","","","Zürich","8004","sa42860","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42860","X","POINT Z (2682341 1247161.9 0)"
"","Hammerstrasse 43","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Hammerstrasse vis-à-vis 43","","4918","","","","","","","","","","","","","","","Zürich","8032","sa42971","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42971","X","POINT Z (2684826.5 1246123.1 0)"
"","Forchstrasse 261","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Forchstrasse 261","","4919","","","","","","","","","","","","","","","Zürich","8032","sa42970","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42970","X","POINT Z (2685595.8 1245890.5 0)"
"","Hardhof 9","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Hardhof 9 bei Wasserversorgung","","4920","","","","","","","","","","","","","","","Zürich","8064","sa42915","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42915","","POINT Z (2679757 1250261.9 0)"
"","Grünauring 25","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Grünauring vis-à-vis 25","","4921","","","","","","","","","","","","","","","Zürich","8064","sa42917","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42917","","POINT Z (2679311 1249994.9 0)"
"","Sonneggstrasse 84","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Sonneggstrasse vis-à-vis 84","","4922","","","","","","","","","","","","","","","Zürich","8006","sa42922","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42922","","POINT Z (2683468 1248597.9 0)"
"","Kronenstrasse 19","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Kronenstrasse 19","","4923","","","","","","","","","","","","","","","Zürich","8006","sa62111","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","62111","X","POINT Z (2682817.8 1249045.5 0)"
"","Grünauring 37","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Grünauring vis-à-vis 37","","4924","","","","","","","","","","","","","","","Zürich","8064","sa42916","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42916","","POINT Z (2679098.5 1250077.9 0)"
"","Bändlistrasse 94","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Bändlistrasse 94","","4925","","","","","","","","","","","","","","","Zürich","8064","sa66768","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","66768","X","POINT Z (2678731 1250187.5 0)"
"","Scheuchzerstrasse 98","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Scheuchzerstrasse vis-à-vis 98","","5002","","","","","","","","","","","","","","","Zürich","8006","sa42923","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42923","X","POINT Z (2683451 1249245.9 0)"
"","Vogelsangstrasse 33","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Vogelsang vis-à-vis 33","","5003","","","","","","","","","","","","","","","Zürich","8006","sa42933","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42933","","POINT Z (2683858 1248655.9 0)"
"","Sonneggstrasse 26","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Sonneggstrasse 26","","5004","","","","","","","","","","","","","","","Zürich","8006","sa42934","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42934","","POINT Z (2683669 1248260.9 0)"
"","Weinbergstrasse 131","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Weinbergstrasse 131","","5005","","","","","","","","","","","","","","","Zürich","8006","sa42921","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42921","","POINT Z (2683214 1249132.9 0)"
"","Ottikerstrasse 61","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Ottikerstrasse vis-à-vis 61","","5006","","","","","","","","","","","","","","","Zürich","8006","sa42930","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42930","X","POINT Z (2683745 1248830.9 0)"
"","Kronwiesenstrasse 29","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Kronwiesenstrasse 29","","5007","","","","","","","","","","","","","","","Zürich","8051","sa43042","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","43042","","POINT Z (2686040 1250981.9 0)"
"","Giesshübelstrasse 106","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Giesshübelstr. vis-à-vis 106","","5008","","","","","","","","","","","","","","","Zürich","8045","sa42817","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42817","","POINT Z (2681487.8 1245860.6 0)"
"","Geroldstrasse 35","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Geroldstrasse 35","","5009","","","","","","","","","","","","","","","Zürich","8005","sa66450","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","66450","","POINT Z (2681508.8 1248922.5 0)"
"","Sportweg 39","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Sportweg 39","","5010","","","","","","","","","","","","","","","Zürich","8005","sa61042","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","61042","","POINT Z (2680566.5 1249551.5 0)"
"","Bocklerstrasse 14","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Bocklerstrasse vis-à-vis 14","","5011","","","","","","","","","","","","","","","Zürich","8051","sa43034","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","43034","","POINT Z (2685431 1250918.9 0)"
